Continent,Rank,Actor,Movie,Year,TotalBO,BO,Character,Country
Africa,1,Lupita Nyong'O,Star Wars: The Force Awakens,2015,350409466.5,936662225,Maz Kanata,Kenya
Africa,6,Abraham Attah,Spider-Man: Homecoming,2017,314057748,314057748,Abe,Ghana
Africa,7,David Bailie,Pirates of the Caribbean: At World's End,2007,309420425,309420425,Cotton,South Africa
Africa,8,Elize Du Toit,Skyfall,2012,304360277,304360277,Vanessa (M's Assistant),South Africa
Africa,11,Fana Mokoena,World War Z,2013,202359711,202359711,Thierry Umutoni,South Africa
Africa,5,Sayed Badreya,Iron Man,2008,189031161.5,318412101,Abu Bakaar,Egypt
Africa,9,Alice Krige,Thor: The Dark World,2013,134756565.5,206362140,Eir,South Africa
Africa,10,Ruth Negga,World War Z,2013,124862500.5,202359711,W.H.O. Doctor,Ethiopia
Africa,2,Charlize Theron,Hancock,2008,94218793.71,227946274,Mary,South Africa
Africa,4,Sharlto Copley,Maleficent,2014,90499285.4,241410378,Stefan,South Africa
Africa,3,Djimon Hounsou,Guardians of the Galaxy,2014,75682931.5,333176600,Korath,Benin
Asia,3,Wen Jiang,Rogue One,2016,532177324,532177324,Baze Malbus,China
Asia,7,Tao Okamoto,Batman v Superman: Dawn of Justice,2016,330360194,330360194,Mercy Graves,Japan
Asia,1,Irrfan Khan,Jurassic World,2015,316214954,652270625,Masrani,India
Asia,2,Donnie Yen,Rogue One,2016,288537868.5,532177324,Chirrut Imwe,China
Asia,10,Geng Han,Transformers: Age of Extinction,2014,245439076,245439076,Convertible Passenger,China
Asia,12,Bingbing Fan,X-Men: Days of Future Past,2014,233921534,233921534,Blink,China
Asia,13,Nazneen Contractor,Star Trek: Into Darkness,2013,228778661,228778661,Rima Harewood,India
Asia,15,Anil Kapoor,Mission: Impossible - Ghost Protocol,2011,209397903,209397903,Brij Nath,India
Asia,16,Ivan Shvedoff,Mission: Impossible - Ghost Protocol,2011,209397903,209397903,Leonid Lisenker,Russia
Asia,18,Jingchu Zhang,Mission: Impossible - Rogue Nation,2015,195042377,195042377,Lauren,China
Asia,4,Ken Watanabe,Inception,2010,177101329.3,292576195,Saito,Japan
Asia,9,Bingbing Li,Transformers: Age of Extinction,2014,143892303.5,245439076,Su Yueming,China
Asia,6,Hiroyuki Sanada,Minions,2015,134862903.7,336045770,Sumo Villain (voice),Japan
Asia,5,Tadanobu Asano,Thor: The Dark World,2013,122794466,206362140,Hogun,Japan
