Movie,url,actor1,character1,country1,actor2,character2,country2,actor3,character3,country3,actor4,character4,country4,actor5,character5,country5
Avatar,https://upload.wikimedia.org/wikipedia/en/b/b0/Avatar-Teaser-Poster.jpg,Sam Worthington,Jake Sully,Australia,Zoe Saldana,Neytiri,USA,Stephen Lang,Colonel Miles,USA,Sigourney Weaver,Dr. Grace Augustine,USA,Michelle Rodriguez,Trudy Chacon,USA
Star Wars The Force Awakens,https://upload.wikimedia.org/wikipedia/en/a/a2/Star_Wars_The_Force_Awakens_Theatrical_Poster.jpg,Harrison Ford,Han Solo,USA,Mark Hamill,Luke Skywalker,USA,Adam Driver,kylo ren,USA,Daisy Ridley,rey,UK,John Boyega,Finn,UK
Jurassic World,https://upload.wikimedia.org/wikipedia/en/6/6e/Jurassic_World_poster.jpg,Chris Pratt,Owen Grady,USA,Bryce Dallas Howard,,USA,Vincent D'Onofrio,Vic Hoskins,USA,Ty Simpkins,Gray Mitchell,USA,Nick Robinson,Zach Mitchell,USA
The Avengers,https://upload.wikimedia.org/wikipedia/en/f/f9/TheAvengers2012Poster.jpg,Scarlett Johansson,Natasha Romanoff/ Black Widow,USA,Robert Downey Jr.,Tony Stark / Iron Man,USA,Jeremy Renner,Clint Barton /              Hawkeye,USA,Elizabeth Olsen,Wanda Maximoff /              Scarlet Witch,USA,Chris Evans,Steve Rogers /              Captain America,USA
Furious 7,https://upload.wikimedia.org/wikipedia/en/b/b8/Furious_7_poster.jpg,Vin Diesel,Dominic Toretto,USA,Paul Walker,Brian O'Conner,USA,Dwayne Johnson,Luke Hobs,USA,Michelle Rodriguez,Letty,USA,Tyrese Gibson,Roman Pearce,USA
Avengers Age of Ultron,https://upload.wikimedia.org/wikipedia/en/1/1b/Avengers_Age_of_Ultron.jpg,Scarlett Johansson,Natasha Romanoff/ Black Widow,USA,Robert Downey Jr.,Tony Stark /  Iron Man,USA,Jeremy Renner,Clint Barton /              Hawkeye,USA,Elizabeth Olsen,Wanda Maximoff /              Scarlet Witch,USA,Chris Evans,Steve Rogers /              Captain America,USA
Harry Potter and the Deathly Hallows,https://vignette2.wikia.nocookie.net/harrypotter/images/b/bd/7xmtxRc9nQnCuWINuTT4SMP5NJc.jpg/revision/latest?cb=20130803164345,Daniel Radcliffe,Harry Potter,UK,Rupert Grint,Ron Weasley,UK,Emma Watson,Hermione Granger,UK,Helen Bonham Carter,Bellatrix,UK,Tom Felton,Draco Malfoy,UK
The Secret Life of Pets,https://upload.wikimedia.org/wikipedia/en/6/64/The_Secret_Life_of_Pets_poster.jpg,Louis Ck,Max,USA,Eric Stonstreet,Duke,USA,Kevin Hart,Snowball,USA,Jenny Slate,Gidget,USA,Ellie Kemper,Katie,USA
Frozen,https://upload.wikimedia.org/wikipedia/en/0/05/Frozen_%282013_film%29_poster.jpg,Kristen Bell,Anna,USA,Idina Menzel,Elsa,USA,Jonathon Groff,Kristoff,USA,Josh Gad,Olaf,USA,Santino Fontana,Hans,USA
Beauty and the Beast,https://upload.wikimedia.org/wikipedia/en/d/d6/Beauty_and_the_Beast_2017_poster.jpg,Emma Watson,Belle,UK,Dan Stevens,Beast,UK,Luke Evans,Gaston,Wales,Kevin Kline,Maurice,USA,Josh Gad,Lefou,USA
Iron Man 3,https://upload.wikimedia.org/wikipedia/en/d/d5/Iron_Man_3_theatrical_poster.jpg,Robert Downey Jr.,Tony Stark / Iron Man,USA,Gwyneth Paltro,Pepper Potts,USA,Don Cheadle,James Rhodes,USA,Guy Pearce,Aldrich Killian,Australia,Rebecca Hall,Maya Hansen,UK
Transformers Dark of the Moon,https://upload.wikimedia.org/wikipedia/en/b/bf/Transformers_dark_of_the_moon_ver5.jpg,Shia Labeouf,Sam Witwicky,USA,Rosie Huntington-Whiteley,Carly Spencer,UK,Josh Duhamel,Col Willian Lennox,USA,John Turturro,Seymour Simmons,Italy,Tyrese Gibson,Sergeant Robert Epps,USA
Dark Knight rises,https://upload.wikimedia.org/wikipedia/en/8/83/Dark_knight_rises_poster.jpg,Christian Bale,Bruce Wayne,UK,Michael Caine,Alfred Pennyworth,UK,Gary Oldman,James Gordon,UK,Anne Hathaway ,Selina Kyle/Cat woman,USA,Tom Hardy,Bane,UK
Rogue One,https://upload.wikimedia.org/wikipedia/en/d/d4/Rogue_One%2C_A_Star_Wars_Story_poster.png,Feilicity Jones,Jyn Erso,UK,Diego Luna,Cassian Andor,Mexico,Ben Mendelson,Oron Krennic,Australia,Donnie Yen,Chirrut Imwe,China,Mads Mikkelsen,Galen Erso,Denmark
Finding Dory,https://upload.wikimedia.org/wikipedia/en/3/3e/Finding_Dory.jpg,Ellen Degeneres,Dory,USA,Albert Brooks,Marlin,USA,Hayden Rolence,Nemo,USA,Kaitlin Olson,Destiny,USA,Ty Burrell,Bailey,USA
Zootopia,https://upload.wikimedia.org/wikipedia/en/e/ea/Zootopia.jpg,Ginnifer Goodwin,Officer Judy Hopps,USA,Jason Bateman,Nick Wild,USA,Idris Elba,Bogo,UK,Jenny Slate,Dawn Bellwether,USA,Nate Torrence,Office Benjamin Clawhauser,USA
Dark Knight,https://upload.wikimedia.org/wikipedia/en/8/8a/Dark_Knight.jpg,Christian Bale,Bruce Wayne,UK,Michael Caine,Alfred Pennyworth,UK,Heath Ledger,Joker,Australia,Gary Oldman,James Gordon,UK,Aaron Eckhart,Harvey Dent,USA
Despicable Me 2,https://upload.wikimedia.org/wikipedia/en/2/29/Despicable_Me_2_poster.jpg,Steve Carell,Glu,USA,Kristen Wiig,Lucy Wilde,USA,Benjamin Bratt,Eduardo 'El Macho' Perez,USA,Miranda Cosgrove,Margo,USA,Russell Brand,Silas Ramsbottom,UK
The Jungle Book,https://upload.wikimedia.org/wikipedia/en/a/a4/The_Jungle_Book_%282016%29.jpg,Neel Sethi,Mowgli,USA,Ritesh Rajan,Mowgli's Father,USA,Bill Murray,Sloth Bear,USA,Ben Kingsley,Black Panther,UK,Idris Elba,Shere Khan,UK
Captain America Civil War,https://upload.wikimedia.org/wikipedia/en/5/53/Captain_America_Civil_War_poster.jpg,Scarlett Johansson,Natasha Romanoff / lack Widow,USA,Robert Downey Jr.,Tony Stark / Iron Man,USA,Jeremy Renner,Clint Barton /              Hawkeye,USA,Elizabeth Olsen,Wanda Maximoff /              Scarlet Witch,USA,Chris Evans,Steve Rogers /              Captain America,USA
Wonder Woman,https://upload.wikimedia.org/wikipedia/en/e/ed/Wonder_Woman_%282017_film%29.jpg,Gal Gadot,Diana,Israel,Chris Pine,Steve Trevor,USA,Robin Wright,Antiope,USA,Danny Huston,General Erich Ludendorff,USA,David Thewlis,Ares,UK
Guardians of the Galaxy Volume 2,https://upload.wikimedia.org/wikipedia/en/9/95/GotG_Vol2_poster.jpg,Chris Pratt,Starlord,USA,Zoe Saldana,Gamora,USA,Dave Bautista,Drax the Destroyer,USA,Vin Diesel,Baby Groot,USA,Bradley Cooper,Rocket,USA
Deadpool,https://upload.wikimedia.org/wikipedia/en/4/46/Deadpool_poster.jpg,Morena Baccarin,Vanessa,Brazil,Ryan Reynolds,Deadpool,Canada,Ed Skrein,Ajax,UK,Brianna Hildebrand,Negasonic Teenage Warhead,USA,T.J. Miller,Weasel,USA
Inside Out,https://upload.wikimedia.org/wikipedia/en/0/0a/Inside_Out_%282015_film%29_poster.jpg,Amy Poehler,Joy,USA,Lewis Black,Anger,USA,Mindy Kaling,Disgust,USA,Phyllis Smith,Sadness,USA,Kaitlyn Dias,Riley,USA
