,Movie,year,bo,numforeign,numactor,NorthAmerica,Caribbean,Australia,MiddleEast,Europe,Africa,Asia,SouthAmerica
1,"10,000 BC",2008,94784201,6,15,yes,yes,yes,yes,yes,yes,no,no
2,12 Years a Slave,2013,56671993,1,15,yes,no,no,no,yes,no,no,no
3,13 Hours,2016,52853219,2,15,yes,no,no,no,yes,no,no,no
4,1408,2007,71985628,2,15,yes,no,no,no,yes,no,no,no
5,17 Again,2009,64167069,2,15,yes,no,no,no,yes,no,no,no
6,2016: Obama's America,2012,33449086,1,15,yes,no,no,no,no,no,yes,no
7,21,2008,81159365,2,15,yes,no,no,no,yes,no,no,no
8,21 & Over,2013,25682380,3,15,yes,no,no,no,no,no,yes,no
9,22 Jump Street,2014,191719337,1,15,yes,no,no,no,yes,no,no,no
10,27 Dresses,2008,76808654,1,15,yes,no,no,no,yes,no,no,no
11,3 Days to Kill,2014,30697999,6,15,yes,no,no,no,yes,no,no,no
12,3:10 to Yuma,2007,53606916,2,15,yes,no,yes,no,yes,no,no,no
13,30 Days of Night,2007,39568996,10,15,yes,no,yes,no,yes,no,no,no
14,30 Minutes or Less,2011,37053924,1,15,yes,no,no,yes,no,no,no,no
15,47 Meters Down,2017,43609741,2,6,yes,no,yes,no,yes,no,no,no
16,47 Ronin,2013,38362475,10,15,no,no,no,yes,yes,no,yes,no
17,50/50,2011,35014192,9,15,yes,no,yes,no,yes,no,yes,no
18,9,2009,31743332,1,10,yes,no,no,no,no,no,no,no
19,90 Minutes in Heaven,2015,4700361,2,15,yes,no,no,no,no,no,no,no
20,A Broken Code,2012,7853000,1,15,yes,no,no,no,no,no,no,no
21,A Cure for Wellness,2016,8106986,7,15,yes,no,no,no,yes,no,no,no
22,A Day as Headmaster,2015,5500000,1,1,no,no,no,no,yes,no,no,no
23,A Dog's Purpose,2017,64304940,5,15,yes,no,yes,no,yes,no,no,no
24,A Good Day to Die Hard,2013,67349198,9,15,yes,no,yes,no,yes,no,yes,no
25,A Haunted House,2013,40041683,1,13,yes,no,no,no,no,no,no,yes
26,A Mighty Heart,2007,9176787,1,15,yes,no,no,no,yes,no,no,no
27,A Million Ways to Die in the West,2014,43139300,2,15,yes,no,no,no,yes,yes,no,no
28,A Single Man,2009,9166863,3,15,yes,no,no,no,yes,no,no,no
29,A Very Harold & Kumar 3D Christmas,2011,35033759,3,15,yes,no,no,no,yes,no,yes,yes
30,A Walk Among the Tombstones,2014,26307600,4,15,yes,no,no,no,yes,no,no,no
31,A Walk in the Woods,2015,29467855,1,15,yes,no,no,no,yes,no,no,no
32,Abduction,2011,28087155,1,15,yes,no,no,no,yes,no,no,no
33,About Last Night,2014,48637684,2,15,yes,yes,no,no,no,no,yes,no
34,Abraham Lincoln: Vampire Hunter,2012,37519139,5,15,yes,no,yes,no,yes,no,no,no
35,Across the Universe,2007,24343673,3,15,yes,no,no,no,yes,no,no,no
36,Act of Valor,2012,70012847,4,15,yes,no,no,no,yes,no,yes,no
37,After Earth,2013,60522097,6,14,yes,no,yes,no,yes,no,no,no
38,Alex Cross,2012,25888412,5,15,yes,no,no,yes,yes,no,yes,no
39,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,66954149,1,15,yes,no,yes,no,no,no,no,no
40,Alice in Wonderland,2010,334191110,11,15,yes,no,yes,no,yes,no,no,no
41,Alice Through the Looking Glass,2016,77042381,13,15,yes,no,yes,no,yes,no,no,no
42,Alien: Covenant,2017,74243930,4,14,yes,no,yes,no,yes,no,no,no
43,Aliens vs. Predator: Requiem,2007,41797066,7,15,yes,no,no,no,yes,no,no,no
44,All About Steve,2009,33860010,1,15,yes,no,no,no,no,no,no,no
45,All Eyez on Me,2017,44922302,1,16,yes,no,no,no,yes,no,no,no
46,Allegiant,2016,66184051,4,15,yes,no,no,no,yes,no,yes,no
47,Allied,2016,40069087,6,15,yes,no,no,no,yes,yes,no,no
48,Aloha,2015,20991497,3,15,yes,no,no,no,yes,yes,no,no
49,Alvin and the Chipmunks,2007,217326974,1,15,yes,no,no,no,no,no,no,no
50,American Assassin,2017,35768742,5,15,yes,no,no,no,yes,no,no,no
51,American Reunion,2012,57011521,3,15,yes,no,no,no,no,no,yes,yes
