Movie,Actor,Character,Gender,Country
(500) Days of Summer,Chloe Grace Moretz,Rachel,Female,USA
(500) Days of Summer,Minka Kelly,Autumn - Girl at Interview,Female,USA
(500) Days of Summer,Nicole Vicius,Partygoer,Female,None
(500) Days of Summer,Patricia Belcher,Millie,Female,USA
(500) Days of Summer,Rachel Boston,Alison,Female,USA
(500) Days of Summer,Yvette Nicole Brown,New Secretary,Female,USA
(500) Days of Summer,Zooey Deschanel,Summer,Female,USA
(500) Days of Summer,Charles Walker,Millie's New Husband,Male,USA
(500) Days of Summer,Clark Gregg,Vance,Male,USA
(500) Days of Summer,Darryl Alan Reed,Bus Driver,Male,None
(500) Days of Summer,Geoffrey Arend,McKenzie,Male,USA
(500) Days of Summer,Ian Reed Kesler,Douche,Male,USA
(500) Days of Summer,Joseph Gordon-Levitt,Tom,Male,USA
(500) Days of Summer,Matthew Gray Gubler,Paul,Male,USA
(500) Days of Summer,Valente Rodriguez,Employee #1,Male,USA
10 Cloverfield Lane,Mary Elizabeth Winstead,Michelle,Female,USA
10 Cloverfield Lane,Sumalee Montano,Voice on Radio       (voice),Female,USA
10 Cloverfield Lane,Suzanne Cryer,Woman,Female,USA
10 Cloverfield Lane,Bradley Cooper,Ben       (voice),Male,USA
10 Cloverfield Lane,Douglas M. Griffin,Driver,Male,USA
10 Cloverfield Lane,Frank Mottek,Radio Broadcaster       (voice),Male,None
10 Cloverfield Lane,John Gallagher Jr.,Emmett,Male,USA
10 Cloverfield Lane,John Goodman,Howard,Male,USA
"10,000 BC",Camilla Belle,Evolet,Female,USA
"10,000 BC",Louise Tu'U,Baku's Mother,Female,None
"10,000 BC",Mona Hammond,Old Mother,Female,Jamaica
"10,000 BC",Affif Ben Badra,Warlord       (as Ben Badra),Male,None
"10,000 BC",Cliff Curtis,Tic'Tic,Male,New Zealand
"10,000 BC",Joel Fry,Lu'kibu,Male,None
"10,000 BC",Joel Virgel,Nakudu,Male,None
"10,000 BC",Junior Oliphant,Tudu,Male,None
"10,000 BC",Kristian Beazley,D'Leh's Father,Male,None
"10,000 BC",Marco Khan,One-Eye,Male,Iran
"10,000 BC",Mo Zinal,Ka'Ren       (as Mo Zainal),Male,None
"10,000 BC",Nathanael Baring,Baku,Male,UK
"10,000 BC",Omar Sharif,Narrator       (voice),Male,Egypt
"10,000 BC",Reece Ritchie,Moha,Male,UK
"10,000 BC",Steven Strait,D'Leh,Male,USA
12 Rounds,Ashley Scott,Molly Porter,Female,USA
12 Rounds,Rosalind Rubin,FBI Agent Sheila,Female,USA
12 Rounds,Taylor Cole,Erica Kessen,Female,USA
12 Rounds,Aidan Gillen,Miles Jackson,Male,Ireland
12 Rounds,Billy Slaughter,Technician,Male,USA
12 Rounds,Brian Decaro,FBI Agent Gator,Male,USA
12 Rounds,Brian White,Hank Carver,Male,USA
12 Rounds,Gonzalo Menendez,Ray Santiago,Male,USA
12 Rounds,John Cena,Danny Fisher,Male,USA
12 Rounds,Kim Collins,Phil the Plumber,Male,USA
12 Rounds,Kyle Clements,Dave Fisher,Male,None
12 Rounds,Nick Gomez,Samuel,Male,None
12 Rounds,Peter Navy Tuiasosopo,Willie Dumaine,Male,None
12 Rounds,Steve Harris,George Aiken,Male,USA
12 Rounds,Travis Davis,Anthony Deluso,Male,USA
12 Years a Slave,Ashley Dyke,Anna,Female,None
12 Years a Slave,Kelsey Scott,Anne Northup,Female,None
12 Years a Slave,Quvenzhane Wallis,Margaret Northup,Female,USA
12 Years a Slave,Bill Camp,Radburn,Male,None
12 Years a Slave,Bryan Batt,Judge Turner,Male,USA
12 Years a Slave,Cameron Zeigler,Alonzo Northup,Male,None
12 Years a Slave,Chiwetel Ejiofor,Solomon Northup,Male,UK
12 Years a Slave,Chris Chalk,Clemens,Male,None
12 Years a Slave,Christopher Berry,Burch,Male,None
12 Years a Slave,Dickie Gravois,Overseer,Male,None
12 Years a Slave,Dwight Henry,Uncle Abram,Male,USA
12 Years a Slave,Mister Mackey Jr.,Randall,Male,None
12 Years a Slave,Scoot Mcnairy,Brown,Male,USA
12 Years a Slave,Taran Killam,Hamilton,Male,USA
12 Years a Slave,Tony Bentley,Mr. Moon,Male,None
127 Hours,Amber Tamblyn,Megan,Female,USA
127 Hours,Bailee Michelle Johnson,Sonja Age 10,Female,None
127 Hours,Cl Emence Po Esy,Rana,Female,France
127 Hours,Kate Burton,Aron's Mom,Female,Switzerland
127 Hours,Kate Mara,Kristi,Female,USA
127 Hours,Lizzy Caplan,Sonja,Female,USA
127 Hours,Pieter Jan Brugge,Eric Meijer,male,Netherlands
127 Hours,Fenton Quinn,Blue John       (as Fenton G. Quinn),Male,None
127 Hours,James Franco,Aron Ralston,Male,USA
127 Hours,John Lawrence,Brian,Male,USA
127 Hours,Koleman Stinger,Aron Age 5,Male,None
127 Hours,Parker Hadley,Aron Age 15,Male,None
127 Hours,Peter Joshua Hull,Boy on Sofa       (as P.J. Hull),Male,None
127 Hours,Sean Bott,Aron's Friend       (as Sean A. Bott),Male,None
127 Hours,Treat Williams,Aron's Dad,Male,USA
13 Hours,Alexia Barlier,Sona Jillani,Female,None
13 Hours,David Costabile,Bob,Male,None
13 Hours,David Denman,Dave 'Boon' Benton,Male,USA
13 Hours,David Furr,DS Alec,Male,None
13 Hours,David Giuntoli,DS Scott Wickland,Male,USA
13 Hours,Demetrius Grosse,DS Dave Ubben,Male,USA
13 Hours,Dominic Fumusa,John 'Tig' Tiegen,Male,USA
13 Hours,James Badge Dale,Tyrone 'Rone' Woods,Male,USA
13 Hours,John Krasinski,Jack Silva,Male,USA
13 Hours,Kevin Kent,DS Vincent,Male,None
13 Hours,Matt Letscher,Ambassador Chris Stevens,Male,USA
13 Hours,Max Martini,Mark 'Oz' Geist,Male,USA
13 Hours,Pablo Schreiber,Kris 'Tanto' Paronto,Male,Canada
13 Hours,Payman Maadi,Amahl       (as Peyman Moaadi),Male,USA
13 Hours,Toby Stephens,Glen 'Bub' Doherty,Male,UK
1408,Alexandra Silber,Young Woman at Book Signing,Female,USA
1408,Emily Harvey,Secretary,Female,None
1408,Holly Hayes,Lady at Book Signing,Female,None
1408,Kim Thomson,Desk Clerk,Female,None
1408,Margot Leicester,Mrs. Innkeeper,Female,None
1408,Bill Armstrong,Clay the Lawyer       (as William Armstrong),male,USA
1408,David Nicholson,Man #2 at Book Signing,male,USA
1408,Andrew Lee Potts,Mailbox Guy,Male,UK
