Actor,Movies,Gender,Country,Role,url,NumLines
Christian Bale,3:10 to Yuma,Male,United Kingdom,Dan Evans,http://www.cinefile.biz/script/yuma2010.pdf,529
Russell Crowe,3:10 to Yuma,Male,New Zealand,Ben Wade,http://www.cinefile.biz/script/yuma2010.pdf,49
Danny Huston,30 Days of Night,Male,Italy,Marlow,http://www.horrorlair.com/movies/scripts/30_Days_of_Night.pdf,93
Melissa George,30 Days of Night,Female,Australia,Stella Oleson,http://www.horrorlair.com/movies/scripts/30_Days_of_Night.pdf,358
Chiwetel Ejiofor,American Gangster,Male,United Kingdom,Huey Lucas,http://www.imsdb.com/scripts/American-Gangster.html,1
Russell Crowe,American Gangster,Male,New Zealand,Richie Roberts,http://www.imsdb.com/scripts/American-Gangster.html,464
Brenda Blethyn,Atonement,Female,United Kingdom,Grace Turner,http://www.joblo.com/scripts/Atonement_Script.pdf,20
James Mcavoy,Atonement,Male,United Kingdom,Robbie Turner,http://www.joblo.com/scripts/Atonement_Script.pdf,300
Keira Knightley,Atonement,Female,United Kingdom,Cecilia Tallis,http://www.joblo.com/scripts/Atonement_Script.pdf,236
Carrie-Anne Moss,Disturbia,Female,Canada,Julie,http://www.imsdb.com/scripts/Disturbia.html,101
Amy Adams,Enchanted,Female,Italy,Giselle,http://www.fanpop.com/clubs/giselle/articles/46518/title/enchanted-script,364
Ioan Gruffudd,Fantastic Four: Rise of the Silver Surfer,Male,United Kingdom,Mr. Fantastic /              Reed Richards,https://sfy.ru/?script=fantastic_four_2005,584
Anthony Hopkins,Fracture,Male,United Kingdom,Ted Crawford,http://www.dailyscript.com/scripts/fracture.pdf,79
Ryan Gosling,Fracture,Male,Canada,Willy Beachum,http://www.dailyscript.com/scripts/fracture.pdf,805
Malcolm Mcdowell,Halloween,Male,United Kingdom,Dr. Samuel Loomis,http://www.dailyscript.com/scripts/halloween.html,151
Tyler Mane,Halloween,Male,Canada,Michael Myers,http://www.dailyscript.com/scripts/halloween.html,14
Martin Freeman,Hot Fuzz,Male,United Kingdom,Met Sergeant,http://scriptslug.com/assets/uploads/scripts/hot-fuzz-2007.pdf,126
Nick Frost,Hot Fuzz,Male,United Kingdom,PC Danny Butterman,http://scriptslug.com/assets/uploads/scripts/hot-fuzz-2007.pdf,449
Simon Pegg,Hot Fuzz,Male,United Kingdom,Nicholas Angel,http://scriptslug.com/assets/uploads/scripts/hot-fuzz-2007.pdf,934
Alice Braga,I Am Legend,Female,Brazil,Anna,http://www.horrorlair.com/scripts/legend.txt,230
Ellen Page,Juno,Female,Canada,Juno MacGuff,http://www.imsdb.com/scripts/Juno.html,623
Michael Cera,Juno,Male,Canada,Paulie Bleeker,http://www.imsdb.com/scripts/Juno.html,23
Seth Rogen,Knocked Up,Male,Canada,Ben Stone,http://www.imsdb.com/scripts/Knocked-Up.html,830
Tilda Swinton,Michael Clayton,Female,United Kingdom,Karen Crowder,http://www.pages.drexel.edu/~i022/splaylib/Screenplay-Michael_Clayton.pdf,137
Tom Wilkinson,Michael Clayton,Male,United Kingdom,Arthur Edens,http://www.pages.drexel.edu/~i022/splaylib/Screenplay-Michael_Clayton.pdf,212
Javier Bardem,No Country for Old Men,Male,Spain,Anton Chigurh,http://www.pages.drexel.edu/~i022/splaylib/Screenplay-No_Country_for_Old_Men.pdf,225
Thandie Newton,Norbit,Female,United Kingdom,Kate Thomas,https://www.scribd.com/doc/508109/norbit,
Keira Knightley,Pirates of the Caribbean: At World's End,Female,United Kingdom,Elizabeth Swann,http://school.wikia.com/wiki/Pirates_Of_The_Caribbean:_At_World%27s_End_Transcript,163
Orlando Bloom,Pirates of the Caribbean: At World's End,Male,United Kingdom,Will Turner,http://school.wikia.com/wiki/Pirates_Of_The_Caribbean:_At_World%27s_End_Transcript,295
Mike Myers,Shrek the Third,Male,Canada,Shrek       (voice),http://www.joblo.com/scripts/script_shrekthethird.pdf,678
Charlie Cox,Stardust,Male,United Kingdom,Tristan Thorn,http://downloads.bbc.co.uk/writersroom/scripts/Stardust-Studio-Script.pdf,450
Michael Cera,Superbad,Male,Canada,Evan,http://scriptslug.com/assets/uploads/scripts/superbad-2007.pdf,460
Alan Rickman,Sweeney Todd: The Demon Barber of Fleet Street,Male,United Kingdom,Judge Turpin,http://www.imsdb.com/scripts/Sweeney-Todd-The-Demon-Barber-of-Fleet-Street.html,145
Helena Bonham Carter,Sweeney Todd: The Demon Barber of Fleet Street,Female,United Kingdom,Mrs. Lovett,http://www.imsdb.com/scripts/Sweeney-Todd-The-Demon-Barber-of-Fleet-Street.html,319
Naveen Andrews,The Brave One,Male,United Kingdom,David Kirmani,http://www.joblo.com/scripts/the_brave_one.pdf,79
Dakota Blue Richards,The Golden Compass,Female,United Kingdom,Lyra,https://www.scribd.com/doc/52004884/Chris-Weitz-First-Draft-of-The-Golden-Compass#download,1103
Daniel Craig,The Golden Compass,Male,United Kingdom,Lord Asriel,https://www.scribd.com/doc/52004884/Chris-Weitz-First-Draft-of-The-Golden-Compass#download,150
Jim Carrey,The Number 23,Male,Canada,Walter Sparrow /              Fingerling,http://www.horrorlair.com/movies/scripts/The-Number-23.pdf,546
Daniel Day-Lewis,There Will Be Blood,Male,United Kingdom,Daniel Plainview,http://www.hollywoodchicago.com/uploaded_images/therewillbeblood_script.pdf,
